Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Channel2,Channel3,Channel4,Channel5,
Gerry Anderson's New Captain Scarlet,2,26,Britain,2005,2005,ITV,,,,,
Get Ace,,52,Australia,2014,2020,Eleven,,,,,
Get Blake!,1,26,"France, United States",2015,2015,Nickelodeon (France),Gulli (France),Nicktoons (United States),,,
Get Ed,1,26,"Canada, United States",2005,2006,Jetix (Toon Disney),ABC Family,,,,
Get Rolling with Otis,1,9,United States,2021,Present,Apple TV+,,,,,
Ghostforce,1,52,United States,2021,Present,Disney Channel,,,,,
Giga Tribe,,39,South Korea,2008,2009,,,,,,
Gigablaster,,52,Brazil,2019,Present,Gloob,,,,,
Gigantosaurus,,52,France,2019,Present,Disney Junior,,,,,
Girlstuff/Boystuff,2,58,Canada,2002,2005,YTV,,,,,
"Glenn Martin, DDS",,40,"Canada, United States",2009,2011,Nick at Nite,,,,,
Glitch Techs,2,19,United States,2020,Present,Netflix,,,,,
Glitter Model,,13,Brazil,2016,2016,Disney Channel,,,,,
"Go Away, Unicorn!",,52,"Canada, United States",2018,2019,YTV,Disney Channel,,,,
Go Jetters,3,154,United Kingdom,2015,2020,CBeebies,,,,,
"Go, Diego, Go!",5,80,United States,2005,2011,Nickelodeon,,,,,
"Go, Dog, Go!",2,18,United States,2021,Present,Netflix,,,,,
Go! Go! Cory Carson,6,63,"France, United States",2020,Present,Netflix,,,,,
"God, the Devil and Bob",1,13,United States,2000,2011,NBC,Adult Swim,,,,
Godzilla: The Series,2,40,US,1998,2000,Fox Kids,,,,,
Gofrette,,26,"Canada, France",2007,2008,CBC Kids,,,,,
Golan the Insatiable,2,12,United States,2013,2015,Fox,,,,,
Goldie & Bear,2,45,United States,2015,2018,Disney Junior,,,,,
Golmaal Jr.,,,India,2019,2019,Nickelodeon Sonic,,,,,
Good Vibes,,12,United States,2011,2011,MTV,,,,,
Goof Troop,2,78,US,1992,1993,The Disney Channel (1992),Syndication (season 1),ABC (season 2),,,
Gordon the Garden Gnome,1,52,"Australia, Britain",2005,2005,CBeebies (United Kingdom),ABC Kids (Australia),,,,
Gormiti,,26,Britain,2009,2011,Nicktoons,,,,,
Gravedale High,1,13,US,1990,1991,NBC,,,,,
Gravity Falls,2,40,United States,2012,2016,Disney Channel (Season 1),Disney XD (Season 2),,,,
Greatest Party Story Ever,,20,United States,2016,2016,MTV,,,,,
Green Eggs and Ham,2,23,United States,2019,Present,Netflix,,,,,
Green Lantern: The Animated Series,,26,United States,2011,2013,Cartoon Network,,,,,
Grim & Evil,3,13,United States,2001,2002,Cartoon Network,,,,,
Grizzly Tales (Cautionary Tales for Lovers of Squeam!),2,26,Britain,2011,2012,NickToons,,,,,
Grizzly Tales for Gruesome Kids,6,79,Britain,2000,2006,CITV,,,,,
Grizzy and the Lemmings,,78,France,2016,Present,Boomerang,,,,,
Grojband,1,51,Canada,2013,2015,Teletoon (2013–14),,,,,
Grossology,,52,Canada,2006,2009,YTV,,,,,
Growing Up Creepie,,26,"Canada, United States",2006,2008,Discovery Kids,,,,,
Growing with Lottie Dottie,1,13,Brazil,2021,Present,YouTube,,,,,
Guardians Evolution,,12,Canada,2014,2015,APTN Kids,,,,,
Guardians of the Galaxy,3,77,United States,2015,2019,Disney XD,,,,,
Guess How Much I Love You,,40,"Canada, United States",2012,2014,Disney Junior,,,,,
Guess with Jess,,52,"Britain, Canada",2009,2013,CBeebies,Treehouse TV,,,,
Gummibär & Friends: The Gummy Bear Show,2,73,Germany,2016,Present,YouTube,,,,,
Gus – the Itsy Bitsy Knight,1,52,"France, United States",2021,Present,Tiny Pop,,,,,
H2O: Mermaid Adventures,2,26,"Australia, France, Canada",2015,2015,Netflix,,,,,
Halvseint,,10,Norway,2007,2008,NRK1,,,,,
Hammerman,1,13,"Canada, US",1991,1991,ABC,,,,,
Hamster & Gretel,1,8,United States,2022,Present,Disney Channel,,,,,
Hamsterdale,TBA,TBA,United States,2022,2022,Nickelodeon,,,,,
Hanazuki: Full of Treasures,2,40,United States,2017,2019,YouTube (Hasbro),Discovery Kids (Latin American),,,,
Handy Manny,,113,"Canada, United States",2006,2013,Playhouse Disney,,,,,
Handy Manny's School for Tools,1,19,"Canada, United States",2010,2011,Disney Junior,,,,,
Happy House of Frightenstein,1,10,Canada,2021,Present,Family Jr.,,,,,
Happy Monster Band,,20,"Britain, United States",2007,2008,Playhouse Disney,,,,,
Happy Ness: The Secret of the Loch,1,13,UK,1995,1995,???,,,,,
Happy Tree Friends,5,194,"Canada, US",1999,Present,YouTube,Mondo Media,,,,
Hareport,1,26,France,2010,2010,TF1,,,,,
Harley Quinn,2,26,United States,2019,Present,DC Universe,,,,,
Harmony.0,10,"100+ (as of April 1, 2019)",Canada,2009,2019,Showcase,,,,,
Harold and the Purple Crayon,1,13,United States,2002,2002,HBO,,,,,
Harp and Friends,1,10,South Korea,2022,Present,EBS,,,,,
Harriet the Spy,1,10,United States,2021,Present,Apple TV+,,,,,
Harry & Bunnie,,78,Malaysia,2016,2016,Disney Channel,,,,,
Harry and His Bucket Full of Dinosaurs,22,104,"Canada, Britain",2005,2008,Teletoon (Canada),Treehouse TV (Canada),Discovery Kids (Latin American),,,
Harvey Beaks,2,52,United States,2015,2017,Nickelodeon (2015–16),Nicktoons (2017),,,,
"Harvey Birdman, Attorney at Law",4,39,United States,2001,2007,Adult Swim,,,,,
Harvey Girls Forever!,4,52,France,2018,2020,France 3,Netflix,,,,
Haunted Tales for Wicked Kids,2,40,Brazil,2013,2016,Cartoon Network,,,,,
Have a Laugh!,,55,United States,2009,2012,Disney Channel,,,,,
Hazbin Hotel,1,1,United States,2019,2019,YouTube,,,,,
HBO Storybook Musicals,1,18,US,1987,1993,HBO,,,,,
He-Man and the Masters of the Universe,2,39,United States,2002,2004,Cartoon Network,,,,,
He-Man and the Masters of the Universe,2,18,United States,2021,Present,Netflix,,,,,
Headspace Guide to Meditation,1,8,United States,2021,2021,Netflix,,,,,
Headspace Guide to Sleep,1,7,United States,2021,2021,Netflix,,,,,
Hell Den,2,12,United States,2019,2020,DrinkTV,Syfy,,,,
Hello Kitty and Friends: Supercute Adventures,4,54,"United States, Brazil, Japan",2020,Present,YouTube,,,,,
Hello Kitty's Furry Tale Theater,1,13,"US, Canada, Japan",1987,1987,CBS,,,,,
Hello Ninja,,10,Canada,2019,Present,Netflix,,,,,
Hello Totobi,,104,South Korea,2011,2013,MBC,,,,,
Helluva Boss,1,6,United States,2019,2021,YouTube,,,,,
Henry Hugglemonster,2,49,"Ireland, Britain, United States",2013,2015,Disney Junior,,,,,
Henry's World,2,26,Canada,2002,2005,Family Channel,,,,,
Hercules: The Animated Series,2,65,US,1998,1999,ABC,,,,,
Hero Elementary,1,40,United States,2020,Present,PBS Kids,,,,,
Hero Factory,1,11,Denmark,2010,2014,Nicktoons,,,,,
Hero: 108,2,52,"UK, Canada, Taiwan, United States",2010,2012,Cartoon Network,,,,,
Hey Arnold!,5,100,US,1996,2004,Nickelodeon,,,,,
Hey Duggee,,156,Britain,2014,Present,CBeebies,,,,,
Hey Joel,,13,United States,2003,2003,VH1,,,,,
Hey Monie!,,25,United States,2003,2003,BET,,,,,
Hey Yo Yorang,,26,"South Korea, China",2003,2004,KBS2,CCTV-6,,,,
Hi Hi Puffy AmiYumi,3,39,United States,2004,2006,Cartoon Network,,,,,
Higglytown Heroes,,65,United States,2004,2008,Playhouse Disney,,,,,
High School USA!,1,12,United States,2013,2015,Fox,FXX,,,,
Highlander: The Animated Series,2,40,"US, France",1994,1996,USA Network,Syndication,,,,
Hilda,2,26,"Canada, Britain",2018,Present,Netflix,,,,,
Hilltop Hospital,2,52,UK,1999,1999,ITV Network,,,,,
Histeria!,2,52,US,1998,2000,The WB,,,,,
Hit-Monkey,1,10,United States,2021,Present,Hulu,,,,,
HobbyKids Adventures,2,27,United States,2019,2020,YouTube,,,,,
Home Movies,4,52,US,1999,2004,UPN,Adult Swim,,,,
Home: Adventures with Tip & Oh,,52,United States,2016,2018,Netflix,,,,,
Honey Bear Bery,1,26,South Korea,2021,2021,Netflix,,,,,
Hoops,1,10,United States,2020,2020,Netflix,,,,,
Hopeless Pictures,1,9,United States,2005,2005,IFC,,,,,
Hopla,1,13,Belgium,1999,1999,RTP2,,,,,
Horrible Histories,2,26,Britain,2001,2002,ABC1,,,,,
Horrid Henry,,208,"Britain, Canada (Series 1)",2006,2019,CITV,Nickelodeon UK,and Nicktoons UK,,,
Horseland,,39,United States,2006,2007,CBS,,,,,
Hot Streets,2,20,United States,2018,2019,Adult Swim,,,,,
Hot Wheels Battle Force 5,,52,"Canada, United States",2009,2011,Teletoon,Cartoon Network,,,,
Hotel Transylvania: The Series,2,52,"Canada, United States",2017,2020,Disney Channel,Teletoon,,,,
House of Mouse,3,52,United States,2001,2003,Toon Disney,,,,,
Housebroken,1,11,United States,2021,Present,Fox,,,,,
Hoze Houndz,6,78,Canada,1999,1999,Family Channel,,,,,
Hulk and the Agents of S.M.A.S.H.,2,52,United States,2013,2015,Disney XD,,,,,
Human Kind Of,,21,United States,2018,2018,Facebook Watch,,,,,
Human Resources,1,10,United States,2022,Present,Netflix,,,,,
Huntik: Secrets & Seekers,,52,Italy,2009,2012,Televisa,,,,,
Hurricanes,5,65,"UK,US",1993,1997,Syndication,,,,,
Huxley Pig,1,26,UK,1989,1990,Central TV,,,,,
I Am Groot,1,5,United States,2022,2022,Disney+,,,,,
I Am Weasel,5,79,US,1997,2000,Cartoon Network,,,,,
I Got a Rocket,,52,"Australia, United States",2006,2007,Network Ten,,,,,
I Heart Arlo,1,20,United States,2021,2021,Netflix,,,,,
I.N.K. Invisible Network of Kids,,26,French,2009,2009,,,,,,
I.N.K. Invisible Network of Kids,2,26,France,2010,2012,France 3,,,,,
Ice Age: Scrat Tales,1,6,United States,2022,2022,Disney+,,,,,
Ico Bit Zip,,26,Brazil,2019,Present,Nat Geo Kids (Latin America),,,,,
If You Give a Mouse a Cookie,,33,United States,2017,Present,Amazon Video,,,,,
Igam Ogam,,52,Welsh,2009,2013,Channel 5,,,,,
Iggy Arbuckle,,26,"Canada, United States",2007,2007,Teletoon,,,,,
Iljimae The Animation,,26,South Korea,2009,2009,SBS,,,,,
Inami,,26,France,2007,2007,TF1,,,,,
Inanimate Insanity,3,41,United States,2011,Present,YouTube,,,,,
Infinity Train,4,40,United States,2019,2021,Cartoon Network,HBO Max,,,,
Insektors,2,26,France,1994,1995,Direct-to-Video,YTV,Channel 4,Canal+,Nickelodeon,
Inside Job,1,10,United States,2021,Present,Netflix,,,,,
Inspector Gadget,4,39,Canada,2015,2018,Teletoon (seasons 1–2),Family Channel (seasons 3–4),,,,
Inspector Gadget's Field Trip,2,22,US,1996,1998,The History Channel,,,,,
Interrupting Chicken,TBA,TBA,United States,2022,2022,Apple TV+,,,,,
Invader Zim,2,27,United States,2001,2002,Nickelodeon,,,,,
Invasion America,1,13,US,1998,1998,The WB,,,,,
Invincible,1,8,United States,2021,Present,Amazon Prime Video,,,,,
Iron Man,2,26,US,1994,1996,Syndication,,,,,
Iron Man: Armored Adventures,,52,"Canada, France, United States",2009,2012,Nicktoons,,,,,
It's Pony,2,40,Britain,2020,2022,Nickelodeon,,,,,
It’s A Small World,8,,United States,2015,Present,Disney XD,,,,,
Jack,3,39,Canada,2011,2014,TVOKids,,,,,
Jackie Chan Adventures,5,95,"China, United States",2000,2005,Kids' WB,,,,,
Jacob Two-Two,,61,Canada,2003,2006,YTV,,,,,
Jade Armor,TBA,TBA,France,2022,2022,Cartoon Network / HBO Max,,,,,
Jája a Pája,4,26,Czech Republic,1987,1998,ČT1,ČT2,ČT :D,,,
Jake and the Never Land Pirates,4,115,United States,2011,2016,Disney Junior,,,,,
Jakers! The Adventures of Piggley Winks,,52,"Britain, United States",2003,2007,PBS Kids,,,,,
James Bond Jr.,1,65,US,1991,1992,Syndication,,,,,
Jamie's Got Tentacles,3,157,"France, Brazil",2013,2017,France 3,Gloob (Brazil),Nat Geo Kids (Latin American),Biggs (Portugal),,
Jane and the Dragon,1,26,"Canada, New Zealand",2005,2006,YTV (Canada),ABC (Australia),Qubo (United States),,,
Jay Jay the Jet Plane,4,62,United States,1994,1994,,,,,,
Jay Jay the Jet Plane,4,73,US,1998,2005,PBS Kids,TLC,,,,
Jeff & Some Aliens,,10,United States,2017,2017,Comedy Central,,,,,
Jelly Jamm,2,78,"Spain, United Kingdom",2011,2014,Cartoonito (pan-European),Clan (Spain),Channel 5 (United Kingdom),Discovery Kids (Latin American),,
Jellystone!,2,30,United States,2021,Present,HBO Max,,,,,
Jerry and the Raiders,,26,Canada,2016,2017,TVOKids,,,,,
Jessy and Nessy,1,10,United States,2020,Present,Amazon Prime Video,,,,,
Jibber Jabber,,26,Canada,2007,2007,YTV,,,,,
Jimmy Two-Shoes,,78,Canada,2009,2012,Teletoon,,,,,
Jin Jin and the Panda Patrol,1,26,"China, United States",1994,1994,,,,,,
JJ Villard's Fairy Tales,1,6,United States,2020,2020,Adult Swim,,,,,
Johan: The Young Scientist,,26,Malaysia,2004,2004,Inspidea,,,,,
John Callahan's Quads!,2,26,"Australia, Canada",2001,2002,Teletoon,SBS,,,,
John Dillermand,1,20,Denmark,2021,Present,DR Ramasjang,,,,,
Johnny Bravo,4,66,US,1997,2004,Cartoon Network,,,,,
Johnny Test (2005),6,117,"Canada, United States",2005,2014,Kids' WB (The WB/The CW) (United States),Cartoon Network (United States),Teletoon (Canada),,,
Johnny Test (2021),2,40,Canada,2021,Present,Netflix,,,,,
JoJo & Gran Gran,1,10,Britain,2020,Present,CBeebies,,,,,
JoJo's Circus,,64,"Canada, United States",2003,2007,Playhouse Disney,,,,,
Jorel's Brother,4,79,Brazil,2014,2022,Cartoon Network,,,,,
Joshua Jones,1,26,"UK, Wales",1991,1991,BBC One,,,,,
Journey to the West – Legends of the Monkey King,1,26,China,1999,1999,China Central Television,,,,,
Journey to the West – Legends of the Monkey King,1,26,"China, Canada",2000,2000,Teletoon,,,,,
Julius Jr.,2,52,United States,2013,2015,Nick Jr.,Discovery kids,,,,
Jumanji,3,40,US,1996,1999,UPN,,,,,
Jungle Cubs,2,21,US,1996,1998,ABC,,,,,
Jungle Junction,,47,"Britain, United States",2009,2012,Playhouse Disney,,,,,
Jungle Show,1,26,"Canada, France",1996,1996,Teletoon,YTV,Cartoon Network,Fox Kids,Fox Family,
Jungledyret Hugo,1,13,Denmark,2002,2003,TV2,,,,,
Junglies,1,13,UK,1992,1993,Cartoon Network,BabyFirstTV,,,,
Junior Express,5,120,Argentina,2013,2019,Disney Junior (Argentina),,,,,
Junior on the Job,1,10,Brazil,2016,2017,PlayKids,YouTube,,,,
Juniper Jungle,1,13,UK,1992,1992,BBC,,,,,
Jurassic World Camp Cretaceous,4,37,United States,2020,Present,Netflix,,,,,
Justice League,2,52,United States,2001,2004,Cartoon Network,,,,,
Justice League Action,1,52,United States,2016,2018,Cartoon Network,,,,,
Justice League Unlimited,,39,United States,2004,2006,Cartoon Network,,,,,
Justice League: Gods and Monsters Chronicles,1,3,United States,2015,2015,YouTube,,,,,
Justin Time,3,78,Canada,2011,2011,Sprout,,,,,
Ka-Pow,1,3,"United States, Canada",2008,2008,YouTube,Mondo Media,,,,
KaBlam!,4,48,US,1996,2000,Nickelodeon,,,,,
Kaeloo,4,202,France,2010,Present,Canal+,,,,,
Kagagi,,13,Canada,2014,2014,APTN Kids,,,,,
Kaijudo,,52,United States,2012,2013,The Hub,,,,,
Kajko and Kokosz,1,5,Polish,2021,Present,Netflix,,,,,
Kamp Koral: SpongeBob's Under Years,1,13,United States,2021,Present,Paramount+ / Nickelodeon,,,,,
Kangaroo Beach,1,26,Australian,2021,Present,ABC Kids,,,,,
Kangaroo Creek Gang,1,26,Australia,2002,2002,Nine Network,,,,,
Kappa Mikey,,52,United States,2006,2007,Nicktoons Network,,,,,
Kaput and Zösky,2,49,"Canada, France",2002,2003,Teletoon,Nicktoons,,,,
Karma’s World,1,15,United States,2021,Present,Netflix,,,,,
Kassai and Leuk,1,26,"Canada, France",1996,1996,Teletoon,,,,,
Kate & Mim-Mim,,65,"Britain, Canada",2014,2018,CBeebies,Family Jr.,,,,
Katie and Orbie,6,78,Canada,1994,1996,Family Channel,,,,,
Katie and Orbie,6,78,Canada,2001,2003,Family Channel,,,,,
Katsuma: The Animated Series,9,"100+ (as of April 1, 2019)",Canada,2010,2019,Showcase,,,,,
Kazoops!,,78,"Australia, Malaysia, Britain",2016,2016,ABC Kids,TV2,CBeebies,Netflix,,
Keluarga Somat,,26,Indonesia,2013,2013,Dreamtoon,,,,,
Kenny the Shark,,26,United States,2003,2006,Discovery Kids,,,,,
Kevin Spencer,8,112,Canada,1999,2005,The Comedy Network,,,,,
Kick Buttowski: Suburban Daredevil,2,52,United States,2010,2012,Disney XD,,,,,
Kid 'n Play,1,13,US,1990,1990,NBC,,,,,
Kid Cosmic,3,24,United States,2021,2022,Netflix,,,,,
Kid Notorious,,9,United States,2003,2004,Comedy Central,,,,,
Kid Paddle,,52,"Belgium, Canada, France",2003,2006,Teletoon,,,,,
Kid vs. Kat,2,52,Canada,2008,2011,YTV,Disney XD,,,,
Kid-E-Cats,4,,"Russia, United States",2015,Present,CTC,Nick Jr,,,,
Kiddyzuzaa Land,2,20,United Kingdom,2018,Present,YouTube,,,,,
Kiko,,52,Indonesia,2016,Present,RCTI,,,,,
Kikoriki,,273,Russia,2004,Present,,,,,,
Killer Bean,1,10+ (2 released so far),United States,2020,Present,YouTube,,,,,
Kim Possible,4,87,United States,2002,2007,Disney Channel,,,,,
Kinderwood,1,1,United States,2020,Present,Noggin,,,,,
King,,52,Canada,2003,2005,Family Channel,,,,,
King Arthur and the Knights of Justice,2,26,US,1992,1993,Syndication,,,,,
King Arthur's Disasters,2,26,Britain,2005,2006,CITV,,,,,
King of the Hill,13,259,US,1997,2010,Fox,,,,,
"King Shakir, Kral Şakir",4,144,Turkey,2016,Present,Cartoon Network Turkey,,,,,
King Star King,1,6,United States,2014,2014,Adult Swim,,,,,
Kingdom Force,,26,Canada,2019,2021,CBC Television,,,,,
Kipo and the Age of Wonderbeasts,3,30,"United States, South Korea",2020,2020,Netflix,,,,,
Kipper,6,78,UK,1997,2000,Nick Jr.,PBS Kids,YTV,CITV,,
Kirby Buckets,3,59,United States,2014,2017,Disney XD,,,,,
Kiri and Lou,,,New Zealand,2019,Present,TVNZ 2 (New Zealand),CBeebies (United Kingdom),Nick Jr. (United States),,,
Kit & Pup,1,52,British,2018,Present,CBeebies,,,,,
Kit and Kate,2,104,"Russia, United States",2014,2019,Karusel,,,,,
"Kitou, the Six-eyed Monsters",,26,France,2002,2002,TF1,,,,,
Kitty Is Not a Cat,3,130,Australia,2018,2020,7TWO,,,,,
Kizazi Moto: Generation Fire,TBA,TBA,United States,2022,2022,Disney+,,,,,
Kleo the Misfit Unicorn,1,26,Canada,1996,1996,Family,Radio-Canada,Treehouse TV,TVO Kids,,
Klutter!,1,8,US,1995,1996,Fox Kids,,,,,
Knuckleheads,,39,Canada,2012,2017,Teletoon at Night,,,,,
Kody Kapow,,26,"Canada, United States",2017,Present,Sprout,Nat Geo Kids,,,,
Kong: King of the Apes,,13,"Canada, Japan, United States",2016,2018,Netflix,,,,,
Kong: The Animated Series,2,40,"Canada, United States",2000,2001,Syndication,,,,,
Krapopolis,TBA,TBA,United States,2022,2022,Fox,,,,,
Krypto the Superdog,2,39,United States,2005,2006,Cartoon Network,,,,,
Kulipari,,39,United States,2016,2018,Netflix,,,,,
Kung Fu Dino Posse,,60,Britain,2009,2011,CITV,,,,,
Kung Fu Panda: Legends of Awesomeness,,78,United States,2011,2016,Nickelodeon,Nicktoons,,,,
Kung Fu Panda: The Dragon Knight,1,11,United States,2022,Present,Netflix,,,,,
Kung Fu Panda: The Paws of Destiny,1,26,United States,2018,2019,Amazon Video,,,,,
Kuu Kuu Harajuku,3,78,"United States, Canada, Malaysia, Australia",2015,2019,10 Peach,,,,,
La Familia del Barrio,,70,Mexico,2013,2013,MTV Latin America,,,,,
La Granja de Zenón,2,24,Argentina,2016,Present,YouTube,,,,,
La Terre vue d'Alban,,122,France,2007,2007,France 3,,,,,
La Vaca Lola: La Serie,1,3,Colombia,2019,Present,YouTube,,,,,
Lalaloopsy,2,52,United States,2013,2014,Nickelodeon,Nick Jr.,,,,
Lamput,3,110,India,2017,Present,Cartoon Network,,,,,
Lapitch the Little Shoemaker,1,26,"Croatia, Germany",2000,2000,Tiny Pop,,,,,
Larva,4,260,South Korea,2011,2019,KBS,Disney XD,,,,
Lascars,2,60,France,1998,2007,Canal +,,,,,
Lauras Stern,1,52,Germany,2002,2011,,,,,,
Lavender Castle,1,26,UK,1999,2000,CITV,,,,,
Lazoo,,26,Canada,2017,2019,CBC Kids,,,,,
Lazor Wulf,2,20,United States,2019,2021,Adult Swim,,,,,
Le Petit Nicolas,,104,France,2009,2009,M6,,,,,
Le Ricette di Arturo e Kiwi,,52,Italy,2007,2010,Rai 3,,,,,
League of Super Evil,,39,Canada,2009,2012,YTV,,,,,
Legend of the Three Caballeros,1,13,United States,2018,2018,DisneyLife,Disney+,,,,
Legend Quest,,26,Mexico,2017,2019,Netflix,YTV,,,,
Legends of Chamberlain Heights,,20,United States,2016,2017,Comedy Central,,,,,
Legends of Chima,3,41,Denmark,2013,2014,Cartoon Network,,,,,
Legends of Dawn: The Sacred Stone,1,3,"China, Indonesia, Malaysia, Philippines",2021,Present,WeTV/Iflix (International),NET (Indonesia),TV9 (Malaysia),Kapamilya Channel/A2Z (Philippines),Netflix (United States),
Legion of Super Heroes,,26,United States,2006,2007,Kids' WB,,,,,
Lego Bionicle: The Journey to One,,5,"Canada, Denmark",2016,2016,Netflix,,,,,
Lego Elves,,8,"Denmark, United States",2017,Present,Netflix,,,,,
Lego Friends: The Power of Friendship,,20,Denmark,2016,2016,Netflix,,,,,
Lego Jurassic World: Legend of Isla Nublar,,13,"Canada, United States",2019,2020,Family Channel,Nickelodeon,,,,
Lego Nexo Knights,4,40,"Denmark, Canada",2015,2017,Cartoon Network,,,,,
Lego Star Wars: Droid Tales,1,5,United States,2015,2015,Disney XD,,,,,
Lego Star Wars: The Freemaker Adventures,,26,United States,2016,2017,Disney XD,,,,,
Lego Star Wars: The Resistance Rises,,5,United States,2016,2016,Disney XD,,,,,
Lego Star Wars: The Yoda Chronicles,1,7,Denmark,2013,2014,Cartoon Network,,,,,
Leo the Wildlife Ranger,2,126,Singapore,2015,2021,,,,,,
Leon,,52,France,2009,2010,France 3,,,,,
Let's Go Luna!,2,43,"Canada, United States",2018,Present,PBS Kids (United States),TVOKids (Canada),Knowledge Kids (Canada),Nat Geo Kids (Latin American),,
"Let's Go, Cozy Coupe",,,British,2020,Present,Youtube,,,,,
Liberty's Kids,1,40,United States,2002,2003,PBS Kids,,,,,
Life with Louie,3,39,US,1994,1998,Fox,,,,,
Life's a Zoo,,20,Canada,2008,2008,Teletoon at Night,,,,,
"Like, Share, Die",1,16,United States,2015,2015,Fusion TV,,,,,
Lil' Bush,,17,United States,2007,2008,Comedy Central,,,,,
Lil' Elvis and the Truckstoppers,1,26,"Australia, France",1997,1998,ABC Television,,,,,
Lilly the Witch,,52,Germany,2004,2014,TVOkids,,,,,
Lilo & Stitch: The Series,2,65,United States,2003,2006,Disney Channel,,,,,
Lily's Driftwood Bay,2,100,Ireland,2014,2017,Nick Jr.,,,,,
Liquid Television,3,27,US,1991,1994,MTV,BBC Two,,,,
Little Bear,5,65,"Canada, US",1995,2003,CBC,Nickelodeon,,,,
Little Big Awesome,1,13,United States,2018,2018,Amazon Video,,,,,
Little Bill,4,52,US,1999,2004,Nickelodeon,Nick Jr.,Treehouse TV,,,
Little Charmers,2,57,Canada,2015,2017,Treehouse TV,Nick Jr.,,,,
Little Clowns of Happytown,1,18,US,1987,1988,ABC,,,,,
Little Demon,1,7,United States,2022,Present,FXX,,,,,
Little Dracula,1,13,US,1991,1999,Fox Kids,,,,,
Little Dreamers,1,10,South Korea,2022,Present,KBS1,,,,,
Little Einsteins,,67,United States,2005,2009,Playhouse Disney,,,,,
Little Ellen,2,20,United States,2021,Present,Cartoonito / HBO Max,,,,,
Little Hood of All Colors,,13,Brazil,2019,Present,TV Cultura,,,,,
Little J & Big Cuz,,26,Australia,2017,2017,NITV,,,,,
Little Krishna,,13,India,2009,2009,Nickelodeon,,,,,
Little Monsters,1,52,Netherlands,1998,1999,KRO,,,,,
Little Mouse on the Prairie,1,26,"US, China",1996,1996,FOX Family,Fox Kids,CCTV,CBBC,,
Little People,,52,"Canada, Britain",2016,2017,Family Jr.,,,,,
Little Princess,,100,Britain,2006,2006,Channel 5,,,,,
Little Princess School,5,15,Brazil,2008,2008,Direct-To-DVD,,,,,
Little Robots,,39,Britain,2003,2003,BBC Two,CBeebies,Discovery Kids,,,
Little Rosey,1,13,"Canada, US",1990,1990,ABC,,,,,
Little Roy,,52,Ireland,2016,2017,CBBC,CBeebies,,,,
Little Shop,1,13,US,1991,1991,Fox Kids,,,,,
Little Singham,,,India,2018,Present,Discovery Kids India,,,,,
Little Wizard Tao,,39,"China, South Korea",2009,2010,KBS2,,,,,
Little Wizards,1,13,US,1987,1988,ABC,,,,,
Littlest Pet Shop,1,40,US,1995,1996,Syndication,,,,,
Littlest Pet Shop,,104,"Canada, United States",2012,2016,The Hub Network,Discovery Family,,,,
Littlest Pet Shop: A World of Our Own,1,52,United States,2018,2019,Discovery Family,,,,,
Liverspots and Astronots,,15,United States,2018,2018,Facebook Watch,,,,,
Lizzie McGuire,3,65,United States,2001,2003,Disney Channel,,,,,
Llama Llama,2,25,United States,2018,2019,Netflix,,,,,
Llan-ar-goll-en,2,51,Wales,2013,2016,S4C,,,,,
Lloyd in Space,4,40,United States,2001,2004,Toon Disney,,,,,
Loggerheads,1,16,Germany,1997,1997,Channel Five,,,,,
Lola & Virginia,,52,"Dekania, Spain",2006,2007,Junior,,,,,
Lola & Virginia,1,26,Britain,2005,Present,Disney Channel Spain,,,,,
LoliRock,2,52,France,2014,2014,France 4,,,,,
Long Live the Royals,1,4,United States,2015,2015,Cartoon Network,,,,,
Loonatics Unleashed,,26,United States,2005,2007,Kids' WB,,,,,
Looney Tunes Cartoons,5,62,United States,2020,Present,HBO Max,,,,,
Loopdidoo,,250,France,2006,2016,France 5,,,,,
Looped,,26,Canada,2016,2016,Teletoon,,,,,
Los Trotamúsicos,1,26,Spain,1989,1989,TVE1,,,,,
Lost In Oz,2,26,United States,2017,2018,Amazon Prime Video,Discovery Kids (Latin America),,,,
Louie,,117,France,2006,2009,France 5,,,,,
Love Death + Robots,2,26,United States,2019,2021,Netflix,,,,,
Love Monster!,1,54,Britain,2020,Present,Cbeebies,Cartoonito,,,,
Lucas Bros. Moving Co.,2,17,United States,2013,2015,Fox,FXX,,,,
Lucas the Spider,1,59,United States,2021,Present,Cartoonito,,,,,
Lucky Fred,,104,Spain,2011,2014,Disney Channel,,,,,
"Lucy, the Daughter of the Devil",,11,United States,2007,2007,Adult Swim,,,,,
Lulu Vroumette,2,,France,2012,2013,,,,,,
Lulu's Islands,,52,France,2009,Present,TF1,,,,,
Luna Petunia,,26,"Canada, United States",2016,2018,Netflix,,,,,
"Luna, Chip & Inkie: Adventure Rangers Go",1,10,Canada,2022,Present,Knowledge Kids,,,,,
Lunar Jim,,92,Canada,2006,2012,CBC Television,,,,,
Luntik,,540,Russian,2006,Present,,,,,,
Lupin's Tales,TBA,TBA,China,2021,2021,Youku,,,,,
Lupo Alberto,2,104,Italy,1997,2002,Rai 1,Rai 2,Rai 3,Rai Gulp,,
M.K. 22,,10,Israeli,2004,2004,Bip,,,,,
M.O.D.O.K.,1,10,United States,2021,Present,Hulu,,,,,
